predictor,  word,  occPerM
a,  great,  1066
a,  good,  799
a,  lot,  537
ability,  to,  40
able,  to,  222
about,  the,  437
about,  to,  308
about,  it,  233
above,  the,  8
above,  all,  5
absence,  of,  6
absolutely,  love,  13
absolutely,  no,  8
absolutely,  nothing,  8
abt,  the,  7
accept,  the,  9
accept,  it,  5
accept,  that,  5
access,  to,  34
according,  to,  60
account,  is,  10
account,  for,  10
account,  and,  9
accused,  of,  7
across,  the,  58
across,  from,  10
act,  like,  44
act,  of,  14
act,  as,  6
acting,  like,  16
acting,  up,  6
action,  is,  7
acts,  like,  6
actually,  i,  17
actually,  a,  15
actually,  have,  13
ad,  for,  7
add,  me,  19
add,  to,  18
add,  a,  15
added,  to,  17
added,  a,  7
addicted,  to,  30
adding,  a,  7
adding,  to,  5
addition,  to,  16
address,  and,  8
address,  to,  6
address,  the,  5
admit,  it,  17
admit,  that,  10
admit,  i,  9
adore,  you,  5
advantage,  of,  26
advice,  from,  9
advice,  on,  9
advice,  for,  8
affected,  by,  7
afford,  to,  10
afraid,  to,  35
afraid,  of,  30
african,  american,  6
after,  the,  98
after,  a,  97
after,  i,  42
afternoon,  at,  6
afternoon,  and,  5
afternoon,  in,  5
again,  i,  35
again,  for,  31
again,  soon,  28
against,  the,  52
against,  a,  9
against,  me,  8
age,  of,  17
age,  is,  6
age,  and,  5
ago,  i,  19
ago,  and,  17
ago,  today,  15
agree,  with,  52
agree,  more,  18
agree,  that,  14
agreed,  rt,  14
agreed,  i,  9
agreed,  to,  8
ah,  i,  29
ah,  the,  11
ah,  yes,  10
ahead,  of,  36
ahead,  and,  17
ahh,  i,  10
aim,  for,  5
aint,  no,  10
aint,  got,  9
aint,  even,  5
ain't,  no,  19
ain't,  got,  15
ain't,  even,  8
air,  force,  8
air,  and,  7
air,  in,  5
aka,  the,  6
al,  day,  5
album,  is,  16
album,  and,  6
album,  on,  5
alive,  and,  11
all,  the,  820
all,  of,  376
all,  day,  229
allergic,  to,  8
allergies,  are,  5
allow,  me,  6
allowed,  to,  29
allows,  you,  5
allstar,  game,  5
almost,  done,  20
almost,  over,  14
almost,  time,  14
alone,  in,  12
alone,  and,  7
alone,  with,  5
along,  with,  45
along,  the,  20
along,  to,  8
alot,  of,  38
alot,  to,  5
already,  know,  34
already,  have,  28
already,  got,  12
alright,  i,  10
alright,  alright,  6
alright,  i'm,  5
also,  a,  28
also,  i,  24
also,  have,  20
alternative,  to,  6
although,  i,  18
always,  be,  60
always,  a,  56
always,  have,  38
am,  i,  226
am,  so,  105
am,  not,  74
amaze,  me,  6
amazed,  at,  8
amazed,  by,  5
amazes,  me,  5
amazing,  and,  27
amazing,  how,  24
amazing,  i,  24
amen,  to,  12
amen,  rt,  8
america,  is,  9
america,  and,  7
american,  idol,  25
american,  history,  5
american,  people,  5
americans,  are,  5
among,  the,  15
amount,  of,  47
amounts,  of,  7
an,  amazing,  134
an,  awesome,  106
an,  hour,  103
analysis,  of,  5
and,  i,  973
and,  the,  682
and,  a,  422
andrew,  luck,  5
android,  app,  5
angry,  birds,  11
anniversary,  of,  14
anniversary,  to,  5
announce,  that,  10
announce,  the,  10
announced,  that,  5
annoy,  me,  5
annoys,  me,  5
annual,  meeting,  5
another,  day,  46
another,  great,  30
another,  one,  24
answer,  to,  17
answer,  is,  14
answer,  the,  9
answers,  to,  6
any,  of,  81
any,  other,  51
any,  suggestions,  34
anybody,  else,  12
anybody,  know,  9
anybody,  have,  6
anymore,  i,  10
anymore,  but,  6
anyone,  else,  95
anyone,  know,  56
anyone,  have,  48
anything,  to,  31
anything,  else,  23
anything,  for,  19
anytime,  soon,  12
anyway,  i,  5
anywhere,  in,  7
anywhere,  near,  5
anywhere,  else,  5
apart,  of,  12
apart,  from,  6
apologies,  for,  6
apologize,  for,  13
apologize,  to,  5
app,  for,  22
app,  is,  12
app,  store,  9
apparently,  i,  12
apparently,  the,  9
apparently,  it's,  5
appear,  to,  6
appears,  to,  9
apple,  store,  8
applications,  for,  5
applied,  to,  6
applied,  for,  5
applies,  to,  5
apply,  to,  11
apply,  for,  8
applying,  for,  6
appreciate,  it,  65
appreciate,  the,  54
appreciate,  your,  23
appreciation,  day,  6
appreciation,  for,  5
approach,  to,  9
apps,  for,  7
apps,  and,  5
april,  st,  8
april,  is,  7
april,  at,  6
are,  you,  1026
are,  the,  317
are,  so,  188
area,  of,  8
area,  and,  5
areas,  of,  5
aren't,  you,  20
aren't,  the,  6
aren't,  going,  6
argue,  with,  8
arguing,  with,  5
arms,  and,  5
around,  the,  103
around,  and,  23
around,  with,  19
arrested,  for,  8
arrived,  in,  12
arrived,  at,  8
art,  of,  22
art,  and,  11
art,  is,  10
article,  on,  17
article,  about,  11
article,  in,  8
artist,  and,  5
artist,  is,  5
artists,  and,  5
arts,  center,  5
arts,  and,  5
as,  a,  402
as,  well,  257
as,  i,  168
ashamed,  of,  8
aside,  from,  7
ask,  for,  56
ask,  me,  46
ask,  you,  22
asked,  me,  34
asked,  for,  19
asked,  if,  16
asking,  for,  21
asking,  me,  11
asking,  if,  5
asks,  me,  5
asks,  for,  5
asks,  you,  5
asleep,  on,  9
asleep,  in,  8
asleep,  and,  6
aspect,  of,  7
aspects,  of,  6
ass,  off,  13
ass,  and,  11
ass,  in,  11
assist,  you,  5
associated,  with,  7
assume,  that,  6
assume,  you,  5
at,  the,  1686
at,  least,  336
at,  pm,  294
ate,  a,  13
ate,  the,  6
ate,  my,  5
attached,  to,  9
attacked,  by,  5
attempt,  to,  17
attempt,  at,  6
attempting,  to,  10
attend,  the,  8
attend,  a,  5
attending,  the,  15
attending,  a,  5
attention,  to,  28
attitude,  is,  5
attracted,  to,  7
audition,  for,  11
auditions,  for,  5
austin,  is,  12
austin,  and,  8
austin,  i,  7
author,  of,  12
auto,  update,  5
auto,  correct,  5
available,  for,  27
available,  in,  16
available,  on,  16
avengers,  was,  9
average,  of,  5
avoid,  the,  12
aw,  thanks,  16
aw,  i,  12
aw,  thank,  7
awake,  and,  6
awake,  for,  5
awake,  at,  5
award,  for,  15
award,  winning,  8
aware,  of,  17
away,  from,  131
away,  with,  20
away,  and,  17
awe,  thanks,  5
awesome,  i,  39
awesome,  thanks,  26
awesome,  and,  23
awkward,  moment,  68
aww,  thanks,  15
aww,  i,  13
aww,  thank,  9
awww,  i,  8
awww,  thanks,  7
awww,  thank,  5
b,  a,  19
b,  i,  12
b,  the,  11
babe,  i,  6
baby,  i,  19
baby,  girl,  15
baby,  you,  11
back,  to,  474
back,  in,  215
back,  on,  112
backed,  up,  5
bacon,  and,  5
bad,  for,  40
bad,  i,  33
bad,  news,  19
bag,  of,  22
bag,  and,  5
balboa,  park,  5
ball,  in,  7
ball,  and,  6
ball,  to,  5
balls,  to,  6
band,  is,  9
band,  and,  7
band,  of,  6
bank,  of,  7
bank,  account,  6
baptist,  church,  5
bar,  and,  14
bar,  in,  13
bar,  tonight,  6
baseball,  game,  11
baseball,  season,  7
baseball,  team,  6
based,  on,  55
based,  in,  7
basketball,  game,  9
basketball,  team,  7
basketball,  is,  5
batch,  of,  7
battle,  of,  16
battle,  with,  6
bay,  area,  15
bc,  i,  28
bc,  of,  19
bc,  they,  9
bday,  party,  9
bday,  to,  8
bday,  is,  7
be,  a,  765
be,  the,  350
be,  in,  277
beach,  and,  6
beach,  boys,  6
beach,  in,  5
beastie,  boys,  16
beat,  the,  39
beat,  me,  10
beat,  up,  9
beating,  the,  5
beautiful,  day,  82
beautiful,  and,  24
beautiful,  i,  11
beauty,  of,  11
beauty,  is,  8
beauty,  and,  7
became,  a,  11
became,  the,  6
because,  i,  176
because,  of,  107
because,  you,  75
become,  a,  53
become,  the,  15
become,  an,  7
becomes,  a,  11
becoming,  a,  18
becoming,  the,  5
bed,  and,  19
bed,  i,  12
bed,  with,  11
been,  a,  171
been,  on,  78
been,  to,  57
beer,  and,  23
beer,  in,  10
beer,  is,  9
before,  i,  97
before,  the,  79
before,  you,  68
begin,  to,  13
begin,  with,  9
beginning,  of,  26
beginning,  to,  14
begins,  with,  8
begins,  at,  5
behalf,  of,  11
behind,  the,  44
behind,  me,  14
behind,  you,  10
being,  a,  127
being,  in,  35
being,  the,  33
belated,  birthday,  6
believe,  in,  72
believe,  that,  50
believe,  it,  44
believes,  in,  5
believing,  in,  5
belly,  button,  5
belong,  to,  8
belongs,  to,  11
below,  the,  5
benefit,  of,  7
benefit,  from,  5
benefits,  of,  9
besides,  the,  7
best,  friend,  85
best,  of,  83
best,  thing,  41
bet,  you,  24
bet,  it,  10
bet,  i,  9
better,  than,  203
better,  to,  34
better,  be,  33
betty,  white,  5
between,  the,  31
between,  a,  15
between,  and,  11
beware,  of,  5
beyond,  the,  12
bieber,  is,  8
big,  fan,  34
big,  time,  28
big,  deal,  26
bigger,  than,  14
biggest,  fan,  13
bike,  ride,  11
bike,  to,  7
bill,  to,  5
billion,  in,  5
birth,  control,  8
birth,  to,  6
birth,  of,  5
birthday,  to,  94
birthday,  is,  20
birthday,  and,  20
bit,  of,  49
bit,  more,  13
bit,  too,  7
bitch,  i,  16
bitch,  you,  10
bitch,  is,  9
black,  and,  19
black,  friday,  15
black,  people,  13
blah,  blah,  18
blame,  the,  10
blame,  it,  7
blame,  you,  6
blast,  at,  6
bless,  you,  22
bless,  the,  5
bless,  u,  5
blessed,  to,  13
blessed,  day,  13
blessed,  and,  5
blessings,  to,  6
blew,  my,  5
block,  party,  6
block,  of,  5
blocked,  me,  5
blog,  post,  27
blog,  is,  9
blog,  about,  8
bloody,  mary,  6
blow,  up,  11
blow,  out,  5
blow,  it,  5
blowing,  up,  11
blown,  away,  8
blue,  and,  8
board,  of,  9
board,  meeting,  8
board,  with,  5
body,  is,  18
body,  and,  8
body,  of,  7
boo,  boo,  9
boo,  i,  5
book,  and,  18
book,  is,  18
book,  of,  15
booked,  a,  7
booked,  for,  5
books,  and,  12
books,  for,  8
books,  to,  8
boot,  camp,  8
booth,  at,  13
booth,  and,  7
bored,  as,  11
bored,  and,  9
bored,  i,  7
born,  in,  17
born,  to,  11
born,  on,  6
boss,  is,  5
boston,  add,  6
both,  of,  47
both,  are,  13
both,  the,  12
bother,  me,  7
bothers,  me,  5
bottle,  of,  30
bottles,  of,  12
bottom,  of,  26
bottom,  line,  7
bought,  a,  28
bought,  the,  13
bought,  my,  13
bounce,  back,  5
bound,  to,  9
bout,  to,  113
bout,  that,  14
bout,  it,  11
bowl,  of,  12
box,  of,  18
box,  office,  7
boxes,  of,  5
boy,  is,  11
boy,  i,  11
boy,  you,  9
boyfriend,  is,  13
boyfriend,  and,  6
boyfriend,  i,  5
boys,  are,  15
boys,  and,  12
boys,  in,  7
brag,  about,  5
brain,  is,  11
brand,  new,  34
bread,  and,  6
break,  from,  20
break,  a,  15
break,  up,  13
breakfast,  and,  8
breakfast,  at,  8
breakfast,  with,  7
breaking,  news,  22
breaking,  bad,  5
breaking,  the,  5
breaks,  my,  5
breast,  cancer,  10
brewers,  game,  7
brewers,  are,  5
bright,  side,  9
bright,  and,  9
bring,  it,  46
bring,  me,  28
bring,  the,  27
bringing,  the,  8
bringing,  me,  5
bringing,  it,  5
brings,  back,  7
brings,  out,  5
brings,  me,  5
bro,  i,  18
bro,  you,  8
bro,  and,  6
broke,  my,  14
broke,  up,  11
broke,  the,  8
broken,  heart,  5
brother,  is,  13
brother,  and,  8
brother,  i,  5
brothers,  and,  5
brought,  to,  12
brought,  me,  9
brought,  a,  6
brown,  is,  5
brunch,  at,  5
btw,  i,  14
bucket,  list,  10
bud,  light,  8
build,  a,  23
build,  your,  6
building,  a,  14
building,  the,  6
building,  and,  5
built,  in,  7
built,  on,  7
bulls,  game,  6
bummed,  i,  6
bunch,  of,  77
burger,  king,  9
bus,  to,  8
bus,  stop,  8
bus,  driver,  7
business,  is,  14
business,  and,  13
business,  cards,  12
bust,  out,  5
busy,  day,  24
busy,  busy,  12
busy,  with,  11
but,  i,  836
but,  it,  196
but,  i'm,  188
butter,  and,  6
button,  on,  6
buy,  a,  61
buy,  it,  22
buy,  the,  20
buying,  a,  14
buying,  the,  5
by,  the,  354
by,  a,  109
by,  and,  60
bye,  bye,  14
c,  u,  21
c,  and,  5
cabin,  in,  9
cafe,  in,  7
cake,  cake,  21
cake,  and,  6
cake,  for,  5
call,  me,  139
call,  it,  60
call,  us,  34
called,  the,  25
called,  me,  24
called,  a,  20
calling,  me,  15
calling,  it,  12
calling,  all,  9
calls,  for,  13
calls,  me,  9
calls,  and,  6
calm,  down,  15
calm,  and,  7
came,  out,  69
came,  to,  44
came,  up,  22
campaign,  for,  5
can,  you,  274
can,  be,  250
can,  i,  241
candidate,  for,  5
cannot,  wait,  29
cannot,  be,  22
cannot,  believe,  9
cant,  wait,  121
cant,  believe,  19
cant,  get,  15
can't,  wait,  649
can't,  believe,  115
can't,  get,  71
capable,  of,  12
captain,  america,  9
car,  and,  16
car,  is,  12
car,  in,  8
card,  to,  8
card,  for,  6
cards,  for,  5
cards,  and,  5
cards,  are,  5
care,  of,  69
care,  about,  60
care,  if,  20
cared,  about,  5
career,  in,  5
cares,  about,  15
carry,  on,  9
carry,  a,  6
case,  of,  22
case,  you,  21
case,  i,  8
cast,  of,  9
cast,  and,  6
cat,  is,  8
catch,  up,  68
catch,  the,  18
catch,  a,  14
catching,  up,  40
cats,  and,  6
cats,  are,  6
caught,  up,  24
caught,  the,  7
caught,  in,  7
cause,  i,  83
cause,  you,  25
cause,  i'm,  23
caused,  by,  7
cd,  release,  9
celebrate,  the,  17
celebrate,  with,  11
celebrate,  your,  5
celebrating,  the,  9
celebrating,  my,  6
celebration,  of,  8
cell,  phone,  22
cell,  phones,  8
center,  for,  15
center,  of,  10
center,  in,  9
central,  park,  8
ceo,  of,  9
challenge,  is,  5
chamber,  of,  5
championship,  game,  8
chance,  to,  117
chance,  of,  24
chance,  i,  8
chances,  of,  8
chances,  are,  6
chances,  to,  5
change,  the,  50
change,  your,  39
change,  my,  27
changed,  my,  25
changed,  the,  13
changed,  it,  5
changes,  to,  7
changes,  in,  7
changing,  the,  12
changing,  my,  9
channel,  is,  6
chapter,  of,  6
character,  is,  6
character,  in,  5
charge,  of,  7
charge,  for,  5
charged,  with,  6
chat,  with,  18
chat,  about,  7
chatting,  with,  13
cheaper,  than,  5
cheat,  on,  6
cheated,  on,  6
cheating,  on,  6
check,  out,  385
check,  it,  126
check,  us,  37
checked,  out,  28
checked,  in,  6
checked,  it,  5
checking,  out,  36
checking,  in,  14
checking,  it,  7
cheer,  up,  7
cheer,  for,  7
cheer,  on,  6
cheering,  for,  9
cheers,  to,  19
cheese,  and,  10
chi,  town,  5
chicago,  for,  7
chicago,  is,  7
chicago,  and,  7
chicken,  and,  10
chicken,  wings,  5
child,  support,  7
child,  of,  5
child,  is,  5
children,  are,  9
children,  and,  8
children,  in,  8
chill,  with,  11
chill,  out,  8
chill,  and,  5
chillin,  with,  8
chillin,  at,  6
chillin,  in,  5
chilling,  with,  6
chinese,  food,  12
chip,  cookies,  6
chips,  and,  7
chocolate,  and,  8
chocolate,  cake,  6
chocolate,  milk,  5
choice,  of,  10
choice,  for,  9
choice,  to,  7
choose,  to,  23
choose,  the,  8
choose,  from,  7
chose,  to,  8
chris,  brown,  22
christmas,  to,  13
christmas,  eve,  12
christmas,  is,  11
church,  in,  6
church,  and,  6
circle,  of,  5
city,  of,  22
city,  and,  12
city,  is,  12
civil,  rights,  11
civil,  war,  11
claim,  to,  5
class,  and,  20
class,  is,  20
class,  of,  17
classes,  for,  6
classes,  are,  6
classes,  and,  5
clean,  up,  15
clean,  my,  9
clean,  and,  6
cleaning,  up,  8
cleaning,  my,  8
cleaning,  the,  5
click,  on,  17
click,  the,  9
clients,  and,  5
climate,  change,  5
close,  to,  83
close,  your,  9
close,  the,  7
closed,  on,  8
closed,  today,  7
closed,  for,  6
closer,  to,  34
clothes,  and,  6
club,  in,  8
club,  and,  6
club,  is,  6
clue,  what,  7
coach,  of,  5
coach,  and,  5
code,  for,  9
code,  to,  5
coffee,  and,  26
coffee,  is,  14
coffee,  shop,  12
cold,  and,  14
cold,  in,  11
cold,  outside,  7
collection,  of,  9
college,  football,  12
college,  basketball,  7
college,  and,  7
color,  of,  6
color,  is,  6
combination,  of,  9
combo,  of,  5
come,  to,  234
come,  on,  185
come,  out,  114
comedy,  show,  5
comes,  to,  59
comes,  out,  36
comes,  from,  23
comic,  book,  12
comin,  to,  5
coming,  to,  148
coming,  up,  88
coming,  soon,  80
comment,  on,  15
comments,  on,  10
comments,  about,  5
commercial,  for,  6
commercial,  is,  5
commercials,  are,  5
commit,  to,  6
commitment,  to,  9
committed,  to,  11
common,  sense,  11
communication,  is,  5
community,  is,  6
community,  and,  6
community,  college,  6
company,  is,  8
company,  that,  7
company,  in,  6
compare,  to,  5
compared,  to,  25
compete,  with,  7
complain,  about,  17
complaining,  about,  12
complete,  with,  5
complete,  the,  5
completely,  agree,  7
completely,  different,  6
computer,  is,  6
computer,  and,  6
concentrate,  on,  6
concept,  of,  8
concerned,  about,  10
concert,  in,  13
concert,  tonight,  11
concert,  at,  8
condolences,  to,  5
conference,  in,  18
conference,  call,  8
conference,  on,  6
confidence,  in,  5
congrats,  to,  154
congrats,  on,  108
congrats,  and,  12
congratulations,  to,  58
congratulations,  on,  24
congratulations,  and,  5
connect,  with,  25
connect,  to,  6
connected,  to,  9
connected,  with,  6
connecting,  with,  7
connection,  to,  5
consider,  it,  10
consider,  the,  6
considered,  a,  7
considering,  the,  6
consists,  of,  6
contact,  me,  30
contact,  us,  24
contact,  with,  12
content,  is,  7
content,  to,  5
content,  with,  5
contest,  for,  5
continue,  to,  42
continues,  to,  15
continuing,  to,  6
contribute,  to,  6
control,  of,  11
control,  the,  5
convention,  center,  10
conversation,  with,  16
conversation,  about,  6
conversations,  with,  5
convinced,  that,  7
convo,  with,  5
cook,  for,  5
cookies,  and,  8
cookies,  for,  5
cooking,  up,  5
cool,  i,  34
cool,  to,  23
cool,  and,  19
cooler,  than,  8
copies,  of,  10
copy,  of,  41
corner,  of,  14
cost,  of,  12
cost,  to,  6
could,  be,  175
could,  have,  84
could,  get,  39
couldn't,  be,  18
couldn't,  get,  16
couldn't,  agree,  16
could've,  been,  6
count,  on,  13
count,  me,  9
count,  as,  7
countdown,  to,  9
counting,  down,  12
counting,  the,  5
country,  music,  17
country,  is,  6
country,  and,  6
couple,  of,  75
couple,  weeks,  15
couple,  days,  13
coupon,  code,  7
courage,  to,  12
courage,  is,  6
course,  i,  28
course,  you,  13
course,  the,  10
courtesy,  of,  13
cover,  of,  21
cover,  the,  8
cover,  up,  5
coverage,  of,  9
covered,  in,  11
covering,  the,  6
crack,  me,  7
cracking,  me,  5
cracking,  up,  5
cracks,  me,  8
craft,  beer,  7
crap,  i,  10
crap,  out,  7
craving,  a,  6
craving,  for,  6
crazy,  but,  17
crazy,  how,  13
crazy,  i,  11
cream,  and,  7
cream,  cheese,  6
create,  a,  30
create,  the,  7
create,  an,  6
created,  a,  11
created,  by,  7
creating,  a,  14
creative,  and,  5
creativity,  is,  5
creator,  of,  5
credit,  card,  13
credit,  for,  12
credit,  cards,  6
cried,  when,  7
criminal,  minds,  6
cross,  the,  10
crossed,  for,  7
crossing,  my,  5
crowd,  at,  6
crush,  on,  19
cry,  for,  5
cry,  and,  5
cry,  i,  5
cuddle,  with,  5
culture,  of,  6
cup,  of,  37
cups,  of,  8
cure,  for,  9
curious,  to,  10
curious,  about,  8
currently,  in,  7
customer,  service,  31
cut,  it,  13
cut,  my,  11
cut,  off,  11
cute,  and,  13
cute,  i,  11
cute,  but,  7
cuz,  i,  53
cuz,  i'm,  11
cuz,  you,  9
d,  i,  24
d,  and,  14
d,  rt,  8
da,  best,  7
dad,  is,  17
dad,  and,  10
dad,  just,  7
daily,  news,  5
damn,  i,  41
damn,  it,  20
damn,  you,  20
dance,  with,  12
dance,  party,  10
dance,  floor,  8
dancing,  with,  14
dancing,  in,  7
dancing,  to,  6
dang,  i,  8
dang,  it,  6
dare,  you,  14
dare,  to,  7
dark,  chocolate,  9
dark,  side,  8
dark,  and,  6
data,  is,  7
data,  to,  5
data,  and,  5
date,  with,  17
date,  night,  10
date,  for,  9
daughter,  is,  9
daughter,  and,  6
daughter,  to,  5
davis,  is,  5
day,  of,  221
day,  to,  185
day,  in,  127
days,  of,  54
days,  until,  38
days,  i,  26
dc,  for,  9
dc,  is,  6
dc,  and,  6
de,  mayo,  52
de,  la,  7
dead,  and,  7
dead,  in,  6
dead,  at,  5
deadline,  is,  6
deadline,  for,  5
deal,  with,  56
deal,  for,  8
deal,  of,  6
dealing,  with,  21
deals,  on,  8
dear,  god,  10
dear,  friend,  7
dear,  i,  6
death,  of,  24
death,  and,  6
death,  is,  6
debit,  card,  5
decide,  to,  17
decide,  if,  10
decide,  what,  6
decided,  to,  54
decided,  that,  8
decides,  to,  10
decision,  to,  12
decisions,  decisions,  6
dedicated,  to,  14
deep,  in,  9
deep,  breath,  5
deep,  down,  5
def,  a,  5
defense,  is,  6
definitely,  not,  19
definitely,  a,  19
definitely,  be,  15
definition,  of,  21
degree,  weather,  7
degrees,  in,  11
degrees,  and,  6
degrees,  outside,  5
delete,  it,  6
delicious,  and,  5
delivered,  to,  6
department,  of,  5
depend,  on,  10
depending,  on,  14
depends,  on,  38
dept,  of,  5
derrick,  rose,  8
describe,  how,  5
deserve,  it,  23
deserve,  to,  17
deserve,  a,  9
deserved,  it,  6
deserves,  a,  12
deserves,  to,  7
deserves,  it,  7
design,  and,  9
design,  is,  7
design,  for,  7
designed,  to,  7
desire,  to,  13
despite,  the,  11
details,  on,  11
details,  to,  10
details,  coming,  7
determined,  to,  9
develop,  a,  7
dick,  in,  5
did,  you,  462
did,  i,  134
did,  it,  84
didnt,  know,  12
didnt,  even,  10
didnt,  get,  9
didn't,  know,  81
didn't,  get,  60
didn't,  have,  48
die,  in,  8
die,  for,  8
die,  i,  6
died,  in,  9
died,  at,  5
died,  of,  5
diet,  and,  5
difference,  between,  42
difference,  in,  12
difference,  is,  5
different,  than,  10
different,  from,  10
different,  things,  6
difficult,  to,  18
dig,  it,  11
dig,  the,  7
digging,  the,  6
digital,  media,  7
dinner,  with,  30
dinner,  at,  21
dinner,  tonight,  18
direct,  message,  17
direct,  messages,  5
directed,  by,  6
direction,  of,  5
directly,  to,  6
director,  of,  12
disagree,  with,  7
disappointed,  in,  8
disappointed,  that,  5
discount,  on,  5
discover,  the,  5
discovered,  that,  6
discovered,  the,  5
discuss,  the,  7
discussing,  the,  6
discussion,  on,  9
discussion,  of,  7
discussion,  about,  6
disney,  world,  6
distracted,  by,  6
ditto,  rt,  6
dm,  me,  77
dm,  you,  27
dm,  us,  20
do,  you,  882
do,  it,  354
do,  i,  219
doctor,  who,  6
documentary,  on,  6
does,  not,  95
does,  it,  86
does,  that,  72
doesnt,  mean,  8
doesnt,  have,  5
doesn't,  mean,  42
doesn't,  have,  38
doesn't,  make,  25
dog,  is,  14
dog,  and,  9
dog,  to,  5
dogs,  are,  7
dogs,  and,  6
doin,  it,  6
doing,  a,  64
doing,  it,  58
doing,  the,  57
dollars,  to,  5
donate,  to,  9
donated,  to,  6
donation,  to,  5
done,  with,  82
done,  and,  25
done,  for,  21
donna,  summer,  10
dont,  know,  63
dont,  have,  43
dont,  want,  33
don't,  know,  340
don't,  have,  225
don't,  want,  161
door,  to,  10
door,  for,  8
door,  and,  6
doors,  open,  12
doors,  are,  5
doors,  at,  5
dose,  of,  10
doubt,  it,  10
doubt,  that,  9
down,  to,  119
down,  the,  102
down,  and,  54
download,  the,  8
download,  it,  6
downloaded,  the,  5
draft,  of,  6
dragon,  tattoo,  5
draw,  something,  15
draw,  a,  5
dream,  of,  17
dream,  come,  13
dream,  about,  11
dreaming,  of,  8
dreaming,  about,  5
dreams,  come,  14
dreams,  are,  10
dreams,  and,  9
dress,  up,  9
dress,  and,  6
dress,  for,  6
dressed,  up,  8
dressed,  in,  5
dressed,  as,  5
dressing,  up,  5
drink,  and,  14
drink,  specials,  11
drink,  a,  11
drinking,  a,  12
drinking,  coffee,  6
drinking,  and,  5
drinks,  and,  12
drinks,  with,  5
drive,  to,  17
drive,  in,  8
drive,  a,  7
drives,  me,  7
driving,  to,  13
driving,  me,  10
driving,  in,  8
drop,  the,  9
drop,  by,  8
drop,  it,  7
dropped,  my,  6
dropped,  a,  6
dropped,  off,  6
drunk,  and,  10
drunk,  on,  6
dude,  i,  29
dude,  you,  14
dude,  is,  14
due,  to,  84
due,  tomorrow,  5
dumb,  and,  5
dunk,  contest,  5
during,  the,  95
during,  a,  17
during,  my,  11
dying,  to,  14
dying,  for,  5
each,  other,  106
each,  day,  24
each,  of,  12
eager,  to,  7
earlier,  today,  12
earlier,  this,  8
early,  to,  32
early,  for,  22
